total_return,sharpe_ratio,max_drawdown,avg_return,std_return,hit_ratio,annual_return,turnover
-2.1853005727569594,-4.009554922825977,-2.185300572756959,-0.01517569842192333,0.060083163496599104,0.006944444444444444,-3.824276002324679,0.035276208
2.1617654214365434,6.723649187367871,0.0,0.015012259871087107,0.03544388333995147,0.18055555555555555,3.783089487513951,0.03157322
0.007430825263428781,0.0795870941608154,-0.12625212421974139,5.1602953218255425e-05,0.010292767884410865,0.09027777777777778,0.013003944211000366,0.0039110626
1.6476159125812098,3.8178255351041903,-0.12727831676602364,0.011441777170702846,0.04757487738287101,0.08333333333333333,2.8833278470171173,0.024208175
-1.0092904474363364,-6.761664589603201,-1.0092904474363364,-0.007008961440530114,0.016455092092852782,0.006944444444444444,-1.766258283013589,0.01363099
-1.869018820861032,-5.631081043722401,-1.8690188208610323,-0.012979297367090501,0.03658976962936046,0.006944444444444444,-3.2707829365068064,0.02530381
1.2234682454874588,2.710511733826531,-0.20151932537555695,0.008496307260329575,0.04975986444040948,0.09722222222222222,2.141069429603053,0.017539117
0.0008341767169256996,5.042451280583389,-4.472788977967398e-05,5.792893867539581e-06,1.8237030791652182e-05,0.125,0.0014598092546199745,1.634737e-05
0.3861853912108454,4.291540203373242,-0.020059039774915577,0.0026818429945197598,0.009920200136877902,0.10416666666666667,0.6758244346189795,0.015609818
0.7743828088738417,2.488004654236304,-0.08228277415037155,0.005377658394957234,0.03431170450109039,0.06944444444444445,1.355169915529223,0.03440079
